"TEAM NAMES","Series Number",Filename,Name,Description,Gender,Attributes,sha256
,191,disy-the-queen,"disy the queen","An introvert that loves her own space.",Female,"hair: one bun dark brown; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: beauty; weakness: lover girl",48bbec5902433f6bd90d9b6d88fec22a8f409c6ba1d6f5f5a61c948dece4e821
,192,jennyp-of-lagos,"jennyp of lagos","She knows all the celebrities in lagos but she stays lowkey.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: super powerful; weakness: sleeping",d62418352ad942f7e4040d28fd5329aca2cfbb57ef7da8e05028dbed2073149c
,193,jada-of-life,"jada of life","She started a night club in lekki and now she is a millionaire.",Female,"hair: male; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: calm; weakness: sun",a23c05ab22eaa64929bf735734473bb09f9c9c06e9225875841b9468084e5406
,194,sandy-the-rapper,"sandy the rapper","She just loves to rap and Quavo is her super star.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: clean; weakness: foodie",f1046159f6ea1a0e615ab6a33115c1595910b7c96954e1ba3d4c6ad897d133de
,195,dahila-the-genius,"dahila the genius","The genius in the family; she always wins awards.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: activist; weakness: irrational",ff5490fd33d6379827acb8aea81b220c5549e3e4f404c324246209f7b4668bff
,196,rosemary-of-yaba,"rosemary of yaba","She is always travellling to cotonou to buy clothes for her store.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: mind games; weakness: insomia",78409bbe96148abfa0156a6fab9f64d9993bd830f529588cf8dccd7157d54d2e
,197,"jennifer-of -island","jennifer of island","She loves travelling; she is in maldives this year.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: strong; weakness: lateness",c0ab70011ef7424466c22491e063a4eaf330c5ee1e62e5fe96ed3445fba078fe
,198,opeyemi-of-lekki,"opeyemi of lekki","She is a lekki socialite; braids her hairfor 85k.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: conversationist; weakness: traditionalist",3efc5368b3d3f8c879087a3de3ce5cfda86060fcb280adf8f985d0dfe619b9a8
,199,vicky-the-artist,"vicky the artist","An artist; she brings drawings to life.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: strong willed; weakness: crying",c1e2881e29e3fc425bde6e62abdd04b302b021e9eae16609745128e7a141e026
,200,afrogirl-sailor,"afrogirl sailor","She loves water and sails the ocean yearly.",Female,"hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: height; weakness: pride",63d51b24fbb3e3fb6c2568b89230b59d1a6b5a08f013d1a5877ef26c4736d0d0
"TEAM GEAR",201,ahmed-the-merchant,"ahmed the merchant","A rich merchant that sells in babylon.",Male,"hair: none; eyes: closed; teeth: none; clothing: one-hand; accessories: none; expression: smiling; strength: business; weakness: alcohol",fe7e176d29277e14605de6ebb93558061fe2a887e27e70ecb78734e4516ed6b3
,202,blind-tonia,"blind tonia","A girl that lost one of her eyes in a street fight.",Female,"hair: brown; eyes: one; teeth: none; clothing: blouse; accessories: none; expression: none; strength: smiling; weakness: none",597f1b68b1bfd15f5de551f2418191aa16fe6bcb18b395331f995a7ebaa41f15
,203,buffy-the-vampire,"buffy the vampire","A vampire diary protagonist that got bitten by a vampire in real life.",Female,"hair: none; eyes: small; teeth: two; clothing: shirt; accessories: none; expression: none; strength: biting; weakness: none",d17e1be2c7c4d9aa46515e2ad682653a6e0703fd6248698b24f6172e79883122
,204,caro-lipstick,"caro lipstick","A girl that puts on lipstick always, even to bed.",Female,"hair: brown; eyes: glasses; teeth: none; clothing: blouse; accessories: none; expression: sazzy; strength: none; weakness: none",c15899595b3160af022cde4d0c7449e3b05cc9aab6f43b3db948cdd8df3ad32c
,205,charity-the-maid,"charity the maid","A maid that works for the fun of it.",Female,"hair: none; eyes: small; teeth: two; clothing: shirt; accessories: none; expression: none; strength: biting; weakness: none",0f84e202bc69607015c86683fae2c6ac178610d49e6a74481d0b3bb26d45f5f8
,206,charity-with-fakehair,"charity with fakehair","A girl with a bald hair but always wears wig to cover her head.",Female,"hair: orange; eyes: glasses; teeth: none; clothing: blouse; accessories: normal; expression: none; strength: none; weakness: barbing-saloon",857d79d30df84e06388b13f2315672a6cfe337a0ac4efdc3699ec57d27171a26
,207,daniel-the-hustler,"daniel the hustler","A boy that lives in the streets of Lagos hustling everyday to make ends meet.",Male,"hair: none; eyes: black; teeth: none; clothing: shirt; accessories: gang; expression: smiling; strength: hustling; weakness: alcohol",d4b00b49e822f2a0c0e3db6d5ac1913757c788bed10bb103cad50df35cce6aac
,208,grandma-nanny,"grandma nanny","A grandmother that does nothing but sleeps all day.",Female,"hair: white; eyes: blue; teeth: none; clothing: blouse; accessories: fashion; expression: smiling; strength: design; weakness: none",b0107d62240938d4cba55026e8374d53bfd38af23cf44cdeadd9dcf241cdb72e
,209,granpa-willy,"granpa willy","A grandfather that drinks beer and reads newspaper all day.",Male,"hair: white; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smiling; strength: reading; weakness: drinking",743cc000668ee637371baa6153c274e69cd04701ea43b570550a23f66c4b87cb
,210,joshua-gang-leader,"joshua gang leader","A boy born to ritualist parents and now runs his own gang.",Male,"hair: brown; eyes: black; teeth: gold; clothing: shirt; accessories: ponk; expression: suspicion; strength: none; weakness: none",5fdc58f657b534c8e4fd4e4611ba123b905fe8d87aebf8cbb219ea1491aacbcd
,211,karashika-queen,"karashika queen","A woman of the underworld that influences rich men into giving up their money.",Female,"hair: white; eyes: glasses; teeth: none; clothing: blouse; accessories: fashion; expression: none; strength: design; weakness: boys",dc453b5d92e0a14bf058ea85d6ab6bc503e4202dc3fd6df63356345cf93519df
,212,king-of-baldmen,"king of baldmek","A man that was born bald and has never seen a hair on his head.",Male,"hair: cap; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smirk; strength: deceit; weakness: none",fa6f8b9f74569e55ce9bb28c4daad68a455055183a988c7b7d83126b3eb18dbb
,213,musa-masked-mouth,"musa masked mouth","Musa uses a tape to cover his mouth to prevent him from talking too much.",Male,"hair: cap; eyes: closed; teeth: none; clothing: shirt; accessories: fashion; expression: none; strength: dressing; weakness: none",d671d6ccccfc83fb4c43cb486ffd4c5bbf6ea5f8449e81bd44d266ef5eae3bc8
,214,queen-of-smokers,"queen of smokers","A chronic smoker looking for a spouse that will join her to die of smoking.",Female,"hair: brown; eyes: glasses; teeth: smoke; clothing: blouse; accessories: none; expression: none; strength: none; weakness: smoking",fd8542bd9df28fade91759a2717387fc6e78eaf9a2e5d99fdba1e24566f78363
,215,redlips-man,"redlips man","A man that kissed a woman and got his lips burnt.",Male,"hair: brown; eyes: blue; teeth: none; clothing: shirt; accessories: none; expression: frown; strength: chewing; weakness: none",6d45a258b9c96d64c6fb65ac5be32e5df3f41bf3062a3cfac69ca7cf99942aec
,216,sleevless-maid,"sleevless maid","A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing.",Female,"hair: white; eyes: blue; teeth: none; clothing: shirt; accessories: tan; expression: none; strength: seduction; weakness: none",e376408ceb498dafd5b212809b656a666f832cbc11bb7b3b08be0a17b7bf6598
,217,stephen-bluecap,"stephen bluecap","Stephen always wears blue cap even to the church.",Male,"hair: cap; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smile; strength: kindness; weakness: none",13d21c079c8d3a5b9fafcecdb743a70882f6e4993de70df7485a0713e40143ad
,218,tinubu-gateman,"tinubu gateman","Tinubu has been a gateman all his life.",Male,"hair: cap; eyes: blue; teeth: tongue; clothing: shirt; accessories: fashion; expression: laugh; strength: laughter; weakness: none",d60c7313663b372f0125f978158dab9aaac1a13a7a41886b2e00f43c5bac5b9f
,219,vampire-girl,"vampire girl","She dresses up as a vampire every haloween.",Female,"hair: puff-puff; eyes: blue; teeth: two; clothing: blouse; accessories: none; expression: bite; strength: biting; weakness: none",4f3fae3350d298b1e75a42ca1e45d64a647c1616cdf9d83f37c9180cc3de4f38
,220,yusuf-the-smoker,"yusuf the smoker","A chronic smoker with damaged lungs.",Male,"hair: cap; eyes: dark-brown; teeth: smoke; clothing: shirt; accessories: fashion; expression: smile; strength: dressing; weakness: smoking",270686cdc9b0ce43ca2386e537d5a8e606e2ad422c0bc11a1e38931ebf39ecc0
"TEAM TAPE",221,lola-hng-newbie,"lola hng newbie","A confused hng participant that cannot understand her project.",Female,"hair: brown; eyes: white; teeth: white; clothing: ankara; accessories: none; expression: surprised; strength: none; weakness: confused",fb501aa9082a9b13b0af43650dcc384a5f276779b31bf08f2115936ac819bf5a
,222,nene-caroline,"nene caroline","A housewife that loves taking care of her family.",Female,"hair: brown; eyes: white; teeth: none; clothing:ankara; accessories: none; expression: calm; strength: loving; weakness: novice",3fbe0164d317b593fdb2ded50e26dd4540a882dad2237ff31b813d80f012b206
,223,wazo-partystopper,"wazo partystopper","A Nigerian aunty that loves to attend owambe parties.",Female,"hair: black; eyes: white; teeth: none; clothing: aso oke;  accessories: none; expression: proud; strength: energetic; weakness: none",6a938afcc9d50fa8c4501025b9eacab0b58b78e957a0a391303bff3d48e71383
,224,melanin-janet,"melanin janet","A young lady with a soft personality.",Female,"hair: brownish pink; eyes: white; teeth: none; clothing: english-ankara; accessories: none; expression: none; strength: calm; weakness: none",05acd44268dd312f00baca1e718c4de10f925f0f74ac739b74a8777d0eacb462
,225,leo-sugarmummy,"leo sugarmummy","A middle age wild yankee returnee.",Female,"hair: pumpkin; eyes: blue; teeth: none; clothing: leopard skin; accessories: none; expression: wild; strength: none; weakness: none",e6546d8a02e670e0332163f21ea4da91b42a619895aae636d4f2f214ddcdf97e
,226,novice-joane,"novice joane","A princess worried about finding true love.",Female,"hair: pumpkin; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: worried; strength: diligent; weakness: easily initimidated",a8b995411123555279a33012f6223776473330385ed8e493284a28242e2423c1
,227,goofy-simbi,"goofy simbi","An eccentric teenager that loves music.",Female,"hair: pumpkin; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: indifferent; strength: none; weakness: unconventional behaviour",91100580446cae2b6ffd977ebbbaa4d060451706202105743be51411d6ac38ea
,228,akwaaba-ghana,"akwaaba ghana","A depressed gothic introvert.",Female,"hair: purple; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: depressed; strength: none; weakness: weak",f864a9107644527d2bdbf2fe187ff583c9581e7291ebcab96b81310c4ba1926f
,229,aunty-toyin,"aunty toyin","An oversabi family member.",Female,"hair: pumpkin; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: carefree; strength: audacious; weakness: none",cd42b43c21bcac60abb797bbe5d3d05240969eb095d02d80c36b1e8c9a6b9024
,230,pretty-hauwa,"pretty hauwa","A young bride involved in an early marriage.",Female,"hair: dark brown; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: self-sufficient; strength: diligent; weakness: uncritical",a99190a289795be095d1c9aff288587410bbbb697df9cbfecef02453fc2bf2dd
,231,chimamanda-enugu,"chimamanda enugu","A young lady born during the war.",Female,"hair: brown; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: none; strength: none; weakness: none",475636c059d3915d9f7ac419782dc03dd9909de107ae728110126fec25a4fa55
,232,kente-solape,"kente solape","A respectful and diligent princess.",Female,"hair: black; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: blanch; strength: bold; weakness: none",b98ff41a39c7295a19e53a3f7da667bd8de40da8a41d0346db192b551a489345
,233,vamp-karishika,"vamp karishika","Queen of the royal Ghana youths",Female,"hair: brown; eyes: black; teeth: white; clothing: gele; accessories: none; expression: shocked; strength: tough; weakness: bossy",9e57ca739eb896a9f4c09a5612c2349b78bcf2ea06ac5ac349db90993a278330
,234,genz-monique,"genz monique","A sassy lady with her own vibe.",Female,"hair: pinkish-brown; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: despiteful; strength: none; weakness: none",68e3bf31abfc58959d0657934b27fedd789c976f5d3c92ff6f0e0be08102be83
,235,femi-boltz,"femi boltz","A driver hustling his way through life.",Male,"hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none",af57883ded1f7608411d8a950659b49c1e905a5b28ab32e591298476072ef6ca
,236,agba-tech,"agba tech","A tech bro that loves to party but has bad communication skill.",Male,"hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none",693360873df2e58687485659246fbcc441038f05c4c5db717d03beb386bcba6f
,237,brian-richkid,"brian richkid","A trust fund baby that does not know how to manage money.",Male,"hair: black; eyes: blue; teeth: none ; clothing: ankara; accessories: none; expression: proud ; strength: smart; weakness: none",cac591505d4b282dcfb84f522f72d0f16ed7241fdb82f61ee124b2c1f04cf8d2
,238,nandi-zulu,"nandi zulu","A fierce African Queen.",Female,"hair: pumpkin; eyes: brown; teeth: none; clothing: animal skin; accessories: none; expression: energetic; strength: smart; weakness: none",c1e513daec55b589c9ddc08c5725099b3688366ec9ca7bc2f81e149af0b00224
,239,ade-demon,"ade demon","A Lekki playboy that makes money from crypto.",Male,"hair: none; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none",83a8c136535f22810555a57dc2fa886e345f0a943e46edb9158ee572fb939d9c
,240,karim-rapper,"karim rapper","A young and proud Lagos rapper.",Male,"hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none",6fed3fd96ec395d06b1cbdcfb3e43eeb2269d659192e259c9f17831deb556b54
"TEAM AXLE",241,bobo-alinco,"bobo alinco","Alinco always in the mood for play.",Male,"hair: orange; eyes: black; teeth: rabbit front teeth; clothing: white polo and blue pinafore; accessories: none; expression: unamused; strength: good listener; weakness: mostly unserious and plays roughly a lot",43af4fa4a23a05d0dff634fc28325967ace23b14f2c98b7d2817a15448e110f4
,242,chi-lastborn,"chi lastborn","Baby of the house; the lastborn of an average Nigerian family.",Female,"hair: black; eyes: blue bold eyes; teeth: none; clothing: animal print gown; accessories: none; expression: teary; strength: truthful; weakness: cannot keep a secret",86e5e897f2f6976260bf503cd09f762a935a78d8bbca58feef6064d1174dd57a
,243,uju-robo-robo,"uju robo robo","An aso-oke business woman at Balogun market.",Female,"hair: black; eyes: black and grey; teeth: missing two front tooth; clothing: grey and mixed color patterned ankara; accessories: ankara beret; expression: astonished; strength: business acumen; weakness: hot tempered",a363904348daa9069f7a5f57f811ad0f8eab1cc32b1048a228ee3a6a2a4d78f3
,244,yetunde-anifowose,"yetunde anifowose","Old money lady who was in UK before UK was UK.",Female,"hair: brown; eyes: brown; teeth: none; clothing: blue ankara; accessories: tobacco pipe; expression: serious; strength: wealthy; weakness: condescending",171d6a8720b101ca46e7c67b0e263e45eca409dfdd7fae447bd4bc51b9f66d16
,245,dumebi-jjc,"dumebi jjc","Newly admitted to the university; looking for freedom from her parents.",Female,"hair: orange hair in two side buns; eyes: black; teeth: none; clothing: ankara blouse; accessories: none; expression: innocent; strength: curiousity; weakness: gullible",544d6b30c7b0322231ac671a95a9529d64cb0afd2540b8503c6e72485a6538e5
,246,ukwu-nengi,"ukwu nengi","Well endowed woman who will always make heads turn.",Female,"hair: dark brown; eyes: black and grey; teeth: none; clothing: orange, blue, yellow and black ankara; accessories: none; expression: straight faced; strength: smart; weakness: cunny",6eacc942ef628bcb349c678e0a89f21f0c73d9cf7bbe2b92a47dcdff87e57699
,247,nonso-malay,"nonso malay","Nonso Malay is an enterprising man who made his fortune after he travelled abroad.",Male,"hair: orange; eyes: squint; teeth: none and moustache; clothing: agbada; accessories: none; expression: mischevious smile; strength: action person; weakness: doesn't trust anyone",e7cd3aea2804bb7682d3034064f3a65974504c3a62f852620bb00efea45db79b
,248,saro-texaco,"saro texaco","An oil tycoon who dominates.",Male,"hair: none; eyes: black; teeth: white; clothing: agbada; accessories: cap; expression: smiling; strength: negotiations; weakness: stingy",b580cde083e69a32119bcbcf3f4c0ae5940b8780ed5349f6c959e77829f4bcce
,249,akpos-agbero,"akpos agbero","A Warri boy always in the mood for violence.",Male,"hair: none; eyes: black; teeth: rabbit front teeth; clothing: brown polo and blue pinafore; accessories: cap; expression: angry; strength: physically fit; weakness: short-tempered",68d39ef013c1432778daf62dce47f9f78cd299947e49d79ef7aaa2aa4b6bee74
,250,kasali-danfo,"kasali danfo","A danfo driver popular for his positive outlook of life.",Male,"hair: none; eyes: black; teeth: missing two front teeth; clothing: green polo and blue pinafore; accessories: chewing stick and bandana; expression: hopeful; strength: optimistic; weakness: over promises a lot",333b6bc9a82ea1f6375357cf8a70f1150ef3783e031d20085462dec60ded3e66
,251,osaz-benz,"osaz benz","Osaz benz is an Edo born car dealer who buys only Mercedes Benz cars for his clients.",Male,"hair: red; eyes: black; teeth: gold tooth; clothing: white polo and blue pinafore; accessories: none; expression: unamused; strength: technology savy; weakness:reckless",653cdda0e31724b5ffb488b8a9ebd97149228eaf9fa8dcce5b45d2b67d565321
,252,kareem-kasanova,"kareem kasanova","Abuja big boy; he has sweet mouth for wooing ladies.",Male,"hair: none; eyes: black; teeth: none; clothing: agbada; accessories: bubble gum and cap; expression: charming; strength: chivalry; weakness: unfaithful",42622e8e895b8f7584f2e97fd6fcd58fb882a63041bab8c30a2f6a670f2f859b
,253,mayor-of-uyo,"mayor of uyo","Essien is a top Lagos businessman who hails from Uyo.",Male,"hair: none; eyes: cyan and left side eyed; teeth: none; clothing: chieftancy; accessories: candy bar; expression: joyful; strength: wealthy; weakness: loves women a lot",8a766a2b667f471327ed392d1deef889184932482ebee16b7fd3841d152606ae
,254,chinedu-china,"chinedu china","An Nnewi blooded spareparts importer and exporter with goods from china.",Male,"hair: none; eyes: cyan; teeth: none; clothing: wrapper; accessories: none; expression:smirking; strength:business acumen; weakness:brags a lot",b23346ed5e7efc5ff213838318f6b3c8fbdff063a18278e64bcdc8c662b79ea2
,255,papa-ekene,"papa ekene","The oldest man of the Akwauzu clan.",Male,"hair: none; eyes: black; teeth: missing two teeth; clothing: ankara native top; accessories: chewing stick; expression: lighthearted; strength: wisdom; weakness: talks too much",0d7f6973515546959ba38262952537a8f18e2bbc11cb7379b35e46f1af2d4347
,256,ogbeni-rauf,"ogbeni rauf","Minister of enjoyment for Freedom state.",Male,"hair: none; eyes: squint; teeth: gold tooth; clothing: agbada; accessories: cap; expression: grinning; strength: persuasive speaker; weakness: manipulative",a4a8298b0a74e5667d660bb7e0eb2f2ed5157cec56f30a7c839ec955852bc68d
,257,koffi-banku,"koffi banku","He loves food so much and doesnt joke with his meal time.",Male,"hair: orange afro hairstyle; eyes: azure and bold; teeth: missing two front teeth; clothing: wearing ankara print with white inner; accessories: none; expression: anticipating; strength: cooks well; weakness: always hungry for food",047e0be0ca7e94032333bee97a0da7b61c3fe3abf7bcefd2c8c67d07f67b8039
,258,alhaji-bello,"alhaji bello","Rich Hausa business mongul controlling half of cow production in Nigeria.",Male,"hair: none; eyes: squinting; teeth: missing a front tooth; clothing: ankara agbada; accessories: cap; expression: smiling; strength: wealthy; weakness: dishonest",35ac6d2c826c675b7479f2e0dce0955de760c452a1cfc791c4af84612675ed38
,259,toju-mafejopami,"toju mafejopami","Toju is a street hustler does not like stress.",Male,"hair: none; eyes: closed; teeth: white with one gold tooth; clothing: yellow shirt with a blue jean pinafore; accessories: cap; expression: sleeping; strength: street smart; weakness: nonchalance",8d26796e6c30609f65429545172c886dce5b408a705e02af0ee4d611a7d550ef
,260,femi-maserati,"femi maserati","Rich kid who resides in lekki; known by everybody because he drives a maserati.",Male,"hair: none; eyes: black and side eyed; teeth: white; clothing: green polo and blue pinafore; accessories: bandana; expression: confident; strength: relatable and easily makes friends; weakness: shouts a lot",1246920a465ad2c00769daa312f1193dfa67ff86d9552e6b87ea2056f2b5079c
"TEAM POWERDRILL",261,paul-the-comedian,"paul the comedian","Paul is a funny man; he always makes great jokes at parties.",Male,"hair:black; eyes: glasses; teeth: none; clothing: black and yellow v neck; expression: cool; strength: trustworthiness; weakness: slow",5d0a85fd9398732fd6a9704a02f6ec688871d098e598f48ee38bdeb0bbf1d844
,262,amina-lagos-housewife,"amina lagos housewife","Amina is always showing the rich housewife vibes.",Female,"hair:red; eyes: blue; teeth: none; clothing: blue and yellow ankara; accessories: none; expression: straight face; strength: fashionista; weakness: exorbitant ",41c70a127379fb41202e2b4727afc60db423ba4ab748ec63f8b8bc222eb8e2ca
,263,kiekie-the-asoebibella,"kiekie the asoebibella","Kiekie is classfied as the life of the party.",Female,"hair: purple; eyes: grey; teeth: none; clothing: blue and yellow ankara; accessories: none; expression: smile; strength: helpful; weakness: none",26cf8754f7728665666f588748ce86884449ac3a7d649ee47aebc5b3a7e40883
,264,kunle-the-hunter,"kunle the hunter","Kunle goes for the best and hits all his targets at bull's eye.",Male,"hair:black; eyes: blue; teeth: none; clothing: one handed yellow ankara; accessories: none; expression: smile; strength: fast; weakness: cannot speak english",9a5ad4df870643d5c0edf1c7400decf23d6ffd42b4025a40b9d41725f9aa85be
,265,amara-the-hairstylist,"amara the hairstylist","Amara is truly your one stop shop for all your hair & beauty needs.",Female,"hair:purple; eyes: grey; teeth: none; clothing: multicolour ankara; accessories: none; expression: none; strength: multitasker; weakness: unfriendly",48d7afe74f4dd8928f4e0f902dae5a8c8e5e9d1398d3d70004b775e0c6cf97b6
,266,mary-nail-technician,"mary nail technician","Mary makes magic with her press-on nails.",Female,"hair:red; eyes: grey; teeth: none; clothing: multicolour ankara; accessories: none; expression: none; strength: hustler; weakness: uncoordinated",8838d5ca207c6402854f683c52530dc8047d0a73cb77f760664a5a20e0c73479
,267,odogwu-oil-contractor,"odogwu oil contractor","From malaysia to kaduna, odogwu's oil is known.",Male,"hair:black; eyes: black with glasses; teeth: none; clothing: brown and gold guniea; accessories: none; expression: none; strength: hustler; weakness: taking criticism ",e314b5ce366354dba248f87f144cc5a5f607c598f942f1651fcdc3766a56dbc2
,268,simisola-the-kenteprincess,"simisola the kenteprincess","Simisola rocks kente even in swim outfits.",Female,"hair:brown; eyes: blue; teeth: none; clothing: multicolour yellow kente; accessories: none; expression: smiling; strength: patience; weakness: self-criticism",fe75bf91eb0a728e827d9d9d8458adda1cfbc2a71b4562eefa1b435aed944eab
,269,mariam-beauty-queen,"mariam beauty queen","Beauty is a fairy tale where mariam appears.",Female,"hair:orange; eyes: grey; teeth: none; clothing: multicolour yellow kente; accessories: none; expression: straight face; strength: disciplined; weakness: inability to delegate",463a8198de59c06df68fa73755ec049affbb0845901b63a1b9ce11af84475e22
,270,obinna-the-musician,"obinna the musician","Obinna might never be an a-list artist.",Male,"hair:black; eyes: black with glasses; teeth: none; clothing: red v-neck ankara; accessories: none; expression: none; strength: delegation; weakness: lack of experience",7bf75a773db221192c496ce45df83ca570a27eb9e18b050e518bb4ffdfb1199d
,271,sandra-the-shybaby,"sandra the shybaby","Sandra is a shy woman even at parties.",Female,"hair:orange; eyes: blue; teeth: none; clothing: yellow off shoulder; accessories: none; expression: none; strength: friendly; weakness: shyness",7d5cf2d9889d55776edce15a1a28262d17161e699047739689c2d4dbe4d380ba
,272,chiamaka-the-dancer,"chiamaka the dancer","Chiamaka dances so well and earned the guinness world record.",Female,"hair:black; eyes: grey; teeth: none; clothing: yellow off shoulder; accessories: none; expression: none; strength: creativity; weakness: lack of confidence",bbd2a4892ed7d85afdd401e0b455341d246892deeccdeee9d51bca1aa3a40401
,273,mensah-fashion-icon,"mensah fashion icon","Mensah outfits are always giving us christopher hemsworth vibes.",Male,"hair:black; eyes: black with glasses; teeth: none; clothing: gold with kente; accessories: none; expression: none; strength: public speaking; weakness: lack of experience",d283164d86beda226320abf28bf15de383a39ef6a314bc70bf6e187c3d4a86c4
,274,lucy-the-fumigator,"lucy the fumigator","Lucy is nicknamed the pest exterminator.",Female,"hair:red; eyes: blue; teeth: none; clothing: multicolour ankara; accessories: none; expression: none; strength: determination; weakness: self-criticism",faa98ca6e0b3cb312db71f150a3e9ebfe7be1e3f2c12ad242422a02f3943f0b8
,275,nneka-wedding-planner,"nneka wedding planner","Nneka plans the best weddings with great details.",Female,"hair:brown braids; eyes: grey; teeth: none; clothing: multicolour ankara; accessories: none; expression: none; strength: hard worker; weakness:analytical skills",600058913f8d9d67682fc571a37a36e8c79e84e92ada528484715c627d93184e
,276,shakira-the-gangster,"shakira the gangster","Shakira is the most feared criminal.",Female,"hair:brown braids; eyes: grey; teeth: none; clothing: gold and brown; accessories: none; expression: none; strength: intentional; weakness: rash in decision making",d2e6b12758b8217dab2bd2a5f20298d5d0224d924da1beb7a83d0e236c5e2f92
,277,lola-afropopping-princess,"lola afropopping princess","Lola loves to lick lollipops like; she is everyones afropop queen.",Female,"hair:brown afro; eyes: closed; teeth: none; clothing: black ankara; accessories: none; expression: none; strength: great communicator; weakness:writing",43a075489eb955663db8ce3ceebe8c1fb5e7e7c65957d83f3b7aee831c9e04ed
,278,sharon-walking-dead,"sharon walking dead","sharon cannot work under pressure; she is a soft babe.",Female,"hair:dark brown; eyes: closed; teeth: open teeth; clothing: blue ankara; accessories: none; expression: loud; strength: people skills; weakness:empathy",95882301f1aa4e663db55301152c88a11143620c61c8d88e9a06d6add6d74ef9
,279,olivia-great-teacher,"olivia great teacher","Students enjoys olivia's classes.",Female,"hair:dark brown; eyes: closed; teeth: none; clothing: multicolour ankara; accessories: none; expression: none; strength: empathy; weakness: computer literacy ",06528951b5e88e338d2287c2e2275d15b74fb774e21d49062e26c1f293c7c361
,280,nicole-sleep-warrior,"nicole sleep warrior","Nicole holds the sleep award in our community, she wouldn't wake up at the sound of a detonated nuclear bomb.",Female,"hair:black; eyes: closed; teeth: none; clothing: multicolour ankara with red base; accessories: none; expression: none; strength: leadership; weakness: initiative ",d157b485eaefeb86ea746787364a03aeaf1b8ef0bcf53051392bc54503b0227f
"TEAM HYDRAULICS",281,busola-the-shakara,"busola the shakara","She is a fashion icon that loves luxurious items.",Female,"hair: brown; eyes: shades; teeth: closed; clothing: yellow and blue ankara; accessories: shades; expression: passive; strength: confident; weakness: over spending",271091836c90b7548ffc7dac452227c7a7ab6fc023d948e000930e27abe723de
,282,bella-the-artist,"bella the artist","A lady that host a fashion week show",Female,"hair: blond; eyes: shades; teeth: closed; clothing: black and yellow ankara; accessories: shades; expression: straight face; strength: creativity; weakness: perfectionist",743f3a8d9368a056e4936d062397812cefbddb794e59bbea9d196d7fa03b9ac5
,283,queen-the-extrovert,"queen the extrovert","A woman who enjoys being high all the time",Female,"hair: brown; eyes: shades; teeth: closed; clothing: multi colored ankara; accessories: shades and smoking pipe; expression: sassy; strength: self assured; weakness: conceited",3e751b9c7df0f9bdaf6bc1dd6ea64860d2dc792e9b16c8f76715fd0bca289d7e
,284,mary-toxic-lady,"mary toxic lady","A lady who is toxic around people",Female,"hair: two buns; eyes: shades; teeth: white; clothing: animal prints; accessories: shades; expression: angry; strength: bully; weakness: insecurity",0bde9044460b449de90928cf2bee402adac11d8119dae4ba75c3438c1eaac13f
,285,elizabeth-the-richkid,"elizabeth the richkid","A university undergraduate from a rich background",Male,"hair: blond; eyes: shades; teeth: closed; clothing: blacktop; accessories: shades; expression: straight face; strength: wealth; weakness: lack of real friends",2b7acd73518c410f8afe7ca2a2421e3839c898ed843f623340897b6c5d48fb1c
,286,larry-the-westerner,"larry the westerner","A Yoruba Man who smokes his pipe in peace",Male,"hair: covered; eyes: white; teeth: closed; clothing: purple and yellow agbada; accessories: cap and smoking pipe; expression: passive; strength: likes to be in control; weakness: lazy",1e0b1ec012ce8b9af6761992a839ab8a1e28f44040bc03d0cf2f2867de11bcc2
